# n gamma re_zetaprime im_zetaprime
219 425.069882494 4.763867252197e+00 2.738548388789e+00
220 427.208825084 2.699555012211e+00 -3.051511136190e+00
221 428.127914077 3.554735779676e+00 1.320097427664e+00
222 430.328745431 1.082130480581e+00 -2.425211673477e+00
223 431.301306931 1.567482879965e+00 -1.026792477988e-01
224 432.138641735 5.933444093529e-01 2.181739213293e+00
225 433.889218481 4.954763874262e+00 4.540986689552e+00
226 436.161006433 3.457836968394e+00 -4.635905144666e+00
227 437.581698168 1.980697545578e+00 -2.045372787863e+00
228 438.621738656 2.426139586528e+00 3.242656768074e-01
229 439.918442214 3.041540331555e+00 1.744527140313e+00
230 441.683199201 3.939948793393e+00 -3.491631518972e-01
231 442.904546303 3.614060318307e+00 1.769644646017e+00
232 444.319336278 5.272496025213e+00 3.495960325052e+00
233 446.860622696 -2.726342811857e-01 -2.319876862576e+00
234 447.441704194 1.842117332503e+00 4.015973049049e-01
235 449.148545685 2.320163000309e+00 -6.817505892884e-01
236 450.126945780 1.805761954765e+00 1.739251611093e+00
237 451.403308445 1.993485550237e+00 4.855788141374e+00
238 453.986737807 1.656767809460e+00 -4.290290059291e+00
239 454.974683769 3.098410774985e+00 -5.494703702746e-01
240 456.328426689 3.680903426270e+00 2.449998596685e-01
241 457.903893064 3.729598721134e+00 -6.363911550954e-01
242 459.513415281 1.653376567838e+00 -8.613332243311e-01
243 460.087944422 3.021019796250e-01 2.103007718633e+00
244 462.065367275 7.010989956435e+00 2.342981308379e+00
245 464.057286911 4.020818219782e+00 -4.296206821366e+00
246 465.671539211 9.267031072933e-01 -2.074437757265e+00
247 466.570286931 1.533522038203e+00 8.545093981780e-02
248 467.439046210 6.020721887267e-01 2.407586180818e+00
249 469.536004559 5.198800939043e+00 -2.774320836323e-01
250 470.773655478 5.100221590152e+00 2.264983289333e+00
251 472.799174662 3.038908286196e+00 -3.219379564113e+00
252 473.835232345 3.767130992874e+00 3.342737576529e-01
253 475.600339369 2.801843546785e+00 -1.863072608965e+00
254 476.769015237 2.646516178840e+00 6.832196442832e-02
255 478.075263767 2.383804459642e+00 8.406461445082e-01
256 478.942181535 -1.277171975079e-01 4.022544683218e+00
257 481.830339376 2.364548902193e-01 -4.510868803774e+00
258 482.834782791 2.040611478166e+00 -1.270437043627e+00
259 483.851427212 2.538491138537e+00 1.005588289444e+00
260 485.539148129 3.023319950877e+00 -4.518359530174e-01
261 486.528718262 2.369229347857e+00 2.652334864584e+00
262 488.380567090 5.184954380914e+00 -2.370328926369e-01
263 489.661761578 5.230087428003e+00 1.654662785546e+00
264 491.398821594 5.796260656741e+00 -2.028930632648e+00
265 493.314441582 4.005313278562e-01 -1.992699836804e+00
266 493.957997805 1.559137002864e+00 5.956701537231e-01
267 495.358828822 2.449276588049e+00 1.178679322326e+00
268 496.429696216 1.377381992122e+00 4.160368049374e+00
269 498.580782430 7.366047370843e+00 -2.353921386300e+00
270 500.309084942 2.482382866757e+00 -3.463348375101e+00
271 501.604446965 1.575115811060e+00 -1.180798858165e+00
272 502.276270327 1.191905999589e+00 1.970562659722e+00
273 504.499773313 2.397006563192e+00 -2.039286152234e+00
274 505.415231742 2.249414812942e+00 1.028314276828e+00
275 506.464152710 1.331743321715e+00 4.274294413355e+00
276 508.800700336 5.191638974620e+00 -4.558626120162e+00
277 510.264227944 2.714707336750e+00 -2.770263137653e+00
278 511.562289700 2.113981839890e+00 -1.178538705848e+00
279 512.623144531 2.058067324930e+00 6.339250100522e-01
280 513.668985555 1.432109902999e+00 3.100856091146e+00
281 515.435057167 6.747466499571e+00 2.770323679629e+00
282 517.589668572 1.109427527045e+00 -3.021483982014e+00
283 518.234223148 2.548529337912e+00 1.395012716700e+00
284 520.106310412 3.836488333883e+00 -2.044397844850e+00
285 521.525193449 2.324015871405e+00 -1.215777241892e+00
286 522.456696178 2.199379962941e+00 1.508206766683e+00
287 523.960530892 3.583906482504e+00 1.590294425911e+00
288 525.077385687 2.820556944624e+00 5.386256029795e+00
289 527.903641601 -9.619670146324e-01 -1.956135135667e+00
290 528.406213852 1.638631851624e+00 2.907369667166e-04
291 529.806226319 2.523019922829e+00 9.699289902123e-02
292 530.866917884 2.290904322787e+00 2.492894387231e+00
293 532.688183028 4.475726266605e+00 -3.251243316019e-01
294 533.779630754 4.034466742123e+00 3.038301988911e+00
295 535.664314076 5.596636338157e+00 -2.370027062483e+00
296 537.069759083 4.264004309269e+00 -1.722658083413e+00
297 538.428526176 3.922958910691e+00 -1.065820477032e+00
298 540.213166376 5.462892711178e-01 -1.064588032480e+00
299 540.631390247 4.966388343675e-01 1.009053283629e+00
300 541.847437121 1.125427153262e-01 4.478426075341e+00
301 544.323890101 4.707901577007e+00 -5.194199142287e+00
302 545.636833249 3.409990481477e+00 -2.447963959764e+00
303 547.010912058 2.267722462503e+00 -1.386902493013e+00
304 547.931613364 2.401100040846e+00 1.426635180018e+00
305 549.497567563 4.167077399850e+00 7.498151494243e-01
306 550.970010039 3.890340294200e+00 1.046799365423e-01
307 552.049572201 3.445890588857e+00 3.230132335204e+00
308 553.764972119 7.640201126513e+00 4.167482406654e-01
309 555.792020562 8.467871526624e-01 -3.689717015342e+00
310 556.899476407 1.248214395470e+00 -1.022366127666e+00
311 557.564659172 1.055782736857e+00 1.519742542322e+00
312 559.316237029 3.435953013026e+00 6.086379325193e-01
313 560.240807497 1.537185354876e+00 4.496758492886e+00
314 562.559207616 4.601247567810e+00 -4.978634785694e+00
315 564.160879111 3.988201209696e-01 -1.351118911283e+00
316 564.506055938 6.756311584841e-01 1.269012453327e+00
317 566.698787683 2.718520372918e+00 -2.339049518083e+00
318 567.731757901 2.686638992826e+00 2.842888622796e-01
319 568.923955180 2.723870667157e+00 1.714181061499e+00
320 570.051114782 2.222508414976e+00 5.149001409720e+00
321 572.419984132 3.176328655498e+00 -5.371806998299e+00
322 573.614610527 3.172748405976e+00 -2.128497943894e+00
323 575.093886014 1.358474478781e+00 -1.368434779273e+00
324 575.807247141 1.365370022410e+00 1.250007288993e+00
325 577.039003472 1.957604626856e+00 3.844114705644e+00
326 579.098834672 4.930957817009e+00 -2.176748640077e+00
327 580.136959362 4.821296830856e+00 1.911067677033e+00
328 581.946576266 4.463333449314e+00 -2.905410457766e+00
329 583.236088219 3.695254750551e+00 -1.373814239573e+00
330 584.561705903 3.349853623932e+00 -7.424148444785e-01
331 585.984563205 2.138709805480e+00 -6.669007200947e-01
332 586.742771891 1.097232306591e+00 2.265000183059e+00
333 588.139663266 3.183210264381e+00 6.129380882553e+00
334 590.660397517 4.014505999671e-01 -4.971527925869e+00
